Season,Date,MatchWeek,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2018-2019,2018-08-10,1,Man United,Leicester,2,1,H
2018-2019,2018-08-11,1,Bournemouth,Cardiff,2,0,H
2018-2019,2018-08-11,1,Fulham,Crystal Palace,0,2,A
2018-2019,2018-08-11,1,Huddersfield,Chelsea,0,3,A
2018-2019,2018-08-11,1,Newcastle,Tottenham,1,2,A
2018-2019,2018-08-11,1,Watford,Brighton,2,0,H
2018-2019,2018-08-11,1,Wolves,Everton,2,2,D
2018-2019,2018-08-12,1,Arsenal,Man City,0,2,A
2018-2019,2018-08-12,1,Liverpool,West Ham,4,0,H
2018-2019,2018-08-12,1,Southampton,Burnley,0,0,D
2018-2019,2018-08-18,2,Cardiff,Newcastle,0,0,D
2018-2019,2018-08-18,2,Chelsea,Arsenal,3,2,H
2018-2019,2018-08-18,2,Everton,Southampton,2,1,H
2018-2019,2018-08-18,2,Leicester,Wolves,2,0,H
2018-2019,2018-08-18,2,Tottenham,Fulham,3,1,H
2018-2019,2018-08-18,2,West Ham,Bournemouth,1,2,A
2018-2019,2018-08-19,2,Brighton,Man United,3,2,H
2018-2019,2018-08-19,2,Burnley,Watford,1,3,A
2018-2019,2018-08-19,2,Man City,Huddersfield,6,1,H
2018-2019,2018-08-20,2,Crystal Palace,Liverpool,0,2,A
2018-2019,2018-08-25,3,Arsenal,West Ham,3,1,H
2018-2019,2018-08-25,3,Bournemouth,Everton,2,2,D
2018-2019,2018-08-25,3,Huddersfield,Cardiff,0,0,D
2018-2019,2018-08-25,3,Liverpool,Brighton,1,0,H
2018-2019,2018-08-25,3,Southampton,Leicester,1,2,A
2018-2019,2018-08-25,3,Wolves,Man City,1,1,D
2018-2019,2018-08-26,3,Fulham,Burnley,4,2,H
2018-2019,2018-08-26,3,Newcastle,Chelsea,1,2,A
2018-2019,2018-08-26,3,Watford,Crystal Palace,2,1,H
2018-2019,2018-08-27,3,Man United,Tottenham,0,3,A
2018-2019,2018-09-01,4,Brighton,Fulham,2,2,D
2018-2019,2018-09-01,4,Chelsea,Bournemouth,2,0,H
2018-2019,2018-09-01,4,Crystal Palace,Southampton,0,2,A
2018-2019,2018-09-01,4,Everton,Huddersfield,1,1,D
2018-2019,2018-09-01,4,Leicester,Liverpool,1,2,A
2018-2019,2018-09-01,4,Man City,Newcastle,2,1,H
2018-2019,2018-09-01,4,West Ham,Wolves,0,1,A
2018-2019,2018-09-02,4,Burnley,Man United,0,2,A
2018-2019,2018-09-02,4,Cardiff,Arsenal,2,3,A
2018-2019,2018-09-02,4,Watford,Tottenham,2,1,H
2018-2019,2018-09-15,5,Bournemouth,Leicester,4,2,H
2018-2019,2018-09-15,5,Chelsea,Cardiff,4,1,H
2018-2019,2018-09-15,5,Huddersfield,Crystal Palace,0,1,A
2018-2019,2018-09-15,5,Man City,Fulham,3,0,H
2018-2019,2018-09-15,5,Newcastle,Arsenal,1,2,A
2018-2019,2018-09-15,5,Tottenham,Liverpool,1,2,A
2018-2019,2018-09-15,5,Watford,Man United,1,2,A
2018-2019,2018-09-16,5,Everton,West Ham,1,3,A
2018-2019,2018-09-16,5,Wolves,Burnley,1,0,H
2018-2019,2018-09-17,5,Southampton,Brighton,2,2,D
2018-2019,2018-09-22,6,Brighton,Tottenham,1,2,A
2018-2019,2018-09-22,6,Burnley,Bournemouth,4,0,H
2018-2019,2018-09-22,6,Cardiff,Man City,0,5,A
2018-2019,2018-09-22,6,Crystal Palace,Newcastle,0,0,D
2018-2019,2018-09-22,6,Fulham,Watford,1,1,D
2018-2019,2018-09-22,6,Leicester,Huddersfield,3,1,H
2018-2019,2018-09-22,6,Liverpool,Southampton,3,0,H
2018-2019,2018-09-22,6,Man United,Wolves,1,1,D
2018-2019,2018-09-23,6,Arsenal,Everton,2,0,H
2018-2019,2018-09-23,6,West Ham,Chelsea,0,0,D
2018-2019,2018-09-29,7,Arsenal,Watford,2,0,H
2018-2019,2018-09-29,7,Chelsea,Liverpool,1,1,D
2018-2019,2018-09-29,7,Everton,Fulham,3,0,H
2018-2019,2018-09-29,7,Huddersfield,Tottenham,0,2,A
2018-2019,2018-09-29,7,Man City,Brighton,2,0,H
2018-2019,2018-09-29,7,Newcastle,Leicester,0,2,A
2018-2019,2018-09-29,7,West Ham,Man United,3,1,H
2018-2019,2018-09-29,7,Wolves,Southampton,2,0,H
2018-2019,2018-09-30,7,Cardiff,Burnley,1,2,A
2018-2019,2018-10-01,7,Bournemouth,Crystal Palace,2,1,H
2018-2019,2018-10-05,8,Brighton,West Ham,1,0,H
2018-2019,2018-10-06,8,Burnley,Huddersfield,1,1,D
2018-2019,2018-10-06,8,Crystal Palace,Wolves,0,1,A
2018-2019,2018-10-06,8,Leicester,Everton,1,2,A
2018-2019,2018-10-06,8,Man United,Newcastle,3,2,H
2018-2019,2018-10-06,8,Tottenham,Cardiff,1,0,H
2018-2019,2018-10-06,8,Watford,Bournemouth,0,4,A
