Position,Team,xPts,ActualPts,Difference,Expected_Points,Std_Points,Title_Prob,Top4_Prob,Relegation_Prob
1,Arsenal,68.74734841801902,74,-5.2526515819809845,68.7199,7.976729079684295,0.3537,0.7819,0.0007
2,Man City,65.29917482882138,71,-5.7008251711786215,65.3027,8.009112766014091,0.1938,0.6419,0.0029
3,Liverpool,64.35997925260543,84,-19.640020747394573,64.5767,7.977347987777129,0.1683,0.6073,0.002
4,Bournemouth,58.03149519853491,56,2.031495198534913,58.0326,7.950877868882692,0.0427,0.2785,0.0166
5,Newcastle,56.0985515768956,66,-9.901448423104398,56.0653,7.9587291728645155,0.0265,0.2017,0.0319
6,Chelsea,55.989252822172034,69,-13.010747177827966,56.1261,8.018280867667787,0.0286,0.2138,0.0328
7,Crystal Palace,55.77627947895201,53,2.776279478952013,55.7564,7.981066895025896,0.0235,0.1933,0.0335
8,Nott'm Forest,54.05019847817344,65,-10.949801521826558,54.0015,8.04652548664582,0.0159,0.1435,0.0543
9,Brentford,53.70019206359954,56,-2.2998079364004624,53.7114,7.982147675165551,0.0134,0.132,0.057
10,Tottenham,53.64329273693092,38,15.643292736930915,53.668,8.009955801325868,0.0136,0.1332,0.056
11,Man United,53.47164025950062,42,11.471640259500615,53.4521,8.014831834975347,0.0143,0.1286,0.0611
12,Aston Villa,53.09225902148147,66,-12.907740978518532,52.9464,7.982173798524747,0.0121,0.1181,0.0687
13,Fulham,52.029969469417225,54,-1.9700305305827757,51.8948,8.008242388602849,0.0088,0.0942,0.0831
14,Brighton,50.71265439065766,61,-10.28734560934234,50.6815,7.964860428793779,0.0056,0.0714,0.1103
15,Everton,48.08246542490488,48,0.0824654249048748,48.1149,7.7455211122125265,0.0013,0.0376,0.1737
16,Wolves,47.01035585443482,42,5.01035585443482,47.0036,7.8907042373501834,0.0017,0.029,0.2163
17,West Ham,45.39470602776551,43,2.3947060277655083,45.3791,7.749631531168878,0.0006,0.0167,0.2789
18,Leicester,42.71065898827871,25,17.71065898827871,42.7679,7.807542850509131,0.0004,0.0081,0.4119
19,Ipswich,40.15251403474922,22,18.152514034749224,40.1802,7.596334536461581,0.0001,0.0039,0.5385
20,Southampton,38.90580047824376,12,26.90580047824376,38.8725,7.535855801583933,0.0001,0.0022,0.6164
