Man United,Fulham,West Ham,Aston Villa,Nott'm Forest,Bournemouth,Newcastle,Southampton,Ipswich,Liverpool,Arsenal,Wolves,Everton,Brighton,Brentford,Crystal Palace,Chelsea,Man City,Leicester,Tottenham
51,54,52,45,51,43,62,45,35,69,75,40,63,53,45,57,60,63,46,45
64,52,44,56,55,55,52,42,44,57,67,36,50,37,60,71,45,76,43,58
44,43,63,60,42,54,57,41,39,68,56,52,55,57,50,55,57,59,63,53
68,41,42,62,61,48,49,41,31,74,73,53,45,68,46,60,42,66,45,49
41,48,55,45,40,53,58,41,37,62,81,48,53,47,63,54,52,60,54,59
55,52,43,59,44,57,57,40,39,80,76,40,48,38,46,57,55,67,47,62
50,70,50,46,46,52,58,29,36,77,72,41,57,45,56,58,46,83,40,57
57,53,45,47,49,43,56,25,55,75,63,49,48,56,60,45,57,62,43,68
63,53,40,51,67,66,52,39,42,55,63,52,51,54,42,70,46,64,42,51
62,43,43,58,51,39,67,36,42,61,67,34,39,74,52,63,58,66,46,55
53,44,52,44,44,52,59,33,51,58,63,47,54,41,55,49,56,70,62,57
67,46,50,46,59,63,53,33,41,53,74,39,52,51,54,58,47,72,30,58
46,57,49,51,56,41,50,36,43,58,59,48,43,56,64,65,55,69,42,58
52,57,56,59,53,64,43,48,44,65,63,55,39,42,62,54,44,62,49,56
53,40,54,52,55,47,67,56,36,68,75,51,38,69,45,45,42,55,44,62
47,38,47,63,59,67,48,48,36,63,64,40,43,66,49,69,34,73,50,61
73,38,49,67,44,56,58,38,25,70,65,58,56,67,54,55,55,64,30,43
39,45,37,57,64,68,74,40,35,56,71,50,50,45,61,64,52,67,30,63
66,42,51,53,60,65,55,24,42,75,69,37,33,49,77,55,67,65,36,44
57,47,60,55,49,55,45,30,40,78,65,40,52,56,60,46,68,57,39,66
43,61,45,33,62,49,49,36,33,71,75,46,61,63,46,68,51,68,36,52
53,70,43,51,49,56,43,40,44,72,63,45,60,44,55,53,58,67,41,54
60,45,41,56,63,59,64,35,32,66,73,45,49,48,38,69,55,75,33,37
48,57,33,49,50,63,59,40,35,67,74,48,53,50,47,59,47,68,47,56
45,49,49,48,37,68,53,43,53,64,69,56,58,39,41,58,62,61,47,56
48,42,51,45,55,56,58,47,40,71,69,40,41,61,55,54,69,72,40,43
50,44,49,57,57,52,62,49,31,69,63,43,36,61,61,55,51,74,47,43
48,53,44,47,42,68,56,31,53,64,71,54,51,58,39,64,64,64,37,52
65,48,44,54,51,54,66,37,41,74,64,48,46,46,52,55,51,56,51,48
49,54,41,70,45,57,70,34,32,57,66,37,41,42,65,64,65,59,51,59
59,36,48,53,72,63,42,36,28,69,83,43,56,49,33,56,51,57,51,62
54,53,45,62,56,60,57,48,43,55,55,44,54,59,55,43,54,75,38,48
49,44,34,41,51,50,74,49,45,71,68,35,56,52,52,59,49,66,50,57
51,46,51,68,52,55,50,31,25,70,60,50,45,57,48,49,55,73,49,69
56,47,51,47,57,58,55,42,39,75,66,42,36,57,50,52,64,69,35,59
58,54,28,55,62,65,42,41,36,65,68,48,51,48,59,49,63,69,39,53
59,52,38,50,60,54,59,35,38,66,68,44,41,62,48,68,44,71,37,51
51,42,47,46,55,69,78,33,36,50,79,46,62,44,49,48,56,61,65,48
45,58,42,59,42,66,73,39,41,60,73,33,35,61,58,51,59,65,40,53
61,55,57,54,55,48,51,39,32,71,69,34,51,57,58,38,54,67,45,55
58,49,49,56,47,66,43,32,45,78,61,53,54,47,38,49,68,73,46,49
57,47,41,63,49,67,53,50,32,69,67,46,49,42,50,52,63,62,35,67
51,46,47,51,74,53,62,35,42,63,65,44,41,48,62,52,51,55,61,56
60,48,43,48,50,71,63,28,62,68,60,40,57,57,59,57,53,60,35,42
64,51,37,52,70,41,57,43,37,63,70,55,51,54,68,44,54,57,34,52
43,61,31,50,64,61,58,46,45,70,74,53,50,61,38,64,45,62,38,44
47,52,54,51,59,43,52,39,30,47,86,39,59,63,56,51,59,63,42,58
58,51,50,51,55,52,49,34,53,68,69,52,38,60,56,60,63,56,31,51
49,58,38,62,51,52,55,29,53,42,64,51,47,43,67,64,74,70,46,54
47,45,60,59,49,68,44,35,30,59,76,35,58,49,51,56,67,62,49,59
55,43,32,47,53,63,56,57,42,56,72,58,50,50,57,56,49,74,52,45
71,55,57,58,54,60,69,53,37,71,62,51,45,44,44,56,48,61,31,37
56,55,36,62,63,70,53,38,45,68,63,47,46,36,49,62,51,60,45,59
48,59,52,57,48,51,50,26,42,63,76,44,43,40,67,46,54,75,53,55
47,33,48,57,56,59,55,28,44,68,77,52,51,52,58,61,41,69,46,58
51,52,53,40,62,71,61,27,44,72,78,52,49,48,50,43,43,73,42,52
48,62,51,54,42,55,51,23,27,63,78,54,61,48,60,64,57,59,36,59
60,39,48,54,57,71,55,34,31,86,72,46,44,54,58,47,42,54,28,74
53,39,49,45,47,66,57,41,39,61,73,53,44,55,40,62,59,64,54,57
52,61,34,58,69,48,52,48,43,48,89,46,46,58,60,48,50,60,34,55
48,54,44,62,47,61,47,36,33,57,76,59,44,52,66,49,65,73,45,47
54,48,40,55,66,49,80,38,38,68,58,48,51,49,56,55,52,57,34,60
50,44,44,56,51,55,48,55,23,67,70,32,61,41,72,72,48,59,45,59
51,55,57,48,49,62,61,33,40,68,80,49,37,48,48,44,60,63,38,68
55,58,55,54,37,76,56,33,39,82,69,42,42,47,46,55,56,69,38,43
66,70,55,50,37,60,46,51,34,60,66,47,59,43,62,53,63,65,29,43
66,67,40,53,49,51,64,44,27,53,57,52,46,62,51,49,54,64,59,42
65,50,44,50,53,56,51,40,55,60,73,33,58,51,40,45,57,66,46,53
57,63,53,42,40,64,63,35,29,58,70,50,53,57,58,62,55,49,43,50
53,42,52,53,56,51,64,55,37,62,65,43,54,51,35,61,65,75,35,50
53,61,50,51,60,52,57,31,34,61,65,51,42,58,67,45,48,71,50,61
51,54,49,55,60,57,49,27,30,63,66,51,53,62,52,67,40,69,47,42
44,42,49,67,66,58,38,59,45,68,75,31,36,60,41,59,58,62,53,49
53,50,39,74,61,62,52,44,40,69,51,47,40,56,58,55,52,63,35,53
58,52,43,54,57,58,52,36,44,60,80,37,44,56,54,47,54,55,56,53
55,46,47,53,59,62,51,53,29,70,68,27,42,66,49,52,53,71,47,61
52,42,48,41,61,59,65,34,44,61,61,47,55,61,59,64,52,62,35,46
56,56,44,57,51,57,54,40,37,53,75,54,53,49,52,61,51,53,48,58
60,54,38,40,47,69,63,39,37,81,56,66,37,46,63,71,45,63,34,53
44,60,48,60,59,59,66,41,38,60,70,43,57,48,56,58,61,66,28,38
51,46,38,41,45,57,52,38,49,67,72,48,60,49,62,57,72,66,44,46
62,45,53,56,58,59,53,21,35,62,79,38,46,61,63,55,54,66,40,55
46,45,45,48,54,60,68,45,41,61,87,26,43,61,51,64,46,78,38,60
61,62,32,34,46,42,53,61,51,58,60,66,48,59,71,54,56,46,47,55
52,58,44,59,61,50,63,38,53,52,55,45,42,46,61,45,60,66,51,48
51,50,33,47,48,67,57,23,56,74,75,44,49,44,48,50,60,71,54,50
28,60,45,49,54,61,52,39,37,63,72,54,57,61,51,45,45,67,60,54
57,45,48,62,41,66,59,48,48,54,66,33,45,50,65,48,57,69,43,51
59,38,51,56,49,60,57,51,50,62,68,32,50,47,52,59,61,63,32,50
59,36,44,51,62,58,62,27,28,59,78,43,48,64,42,70,56,74,40,55
55,36,31,54,50,65,53,29,44,65,84,56,42,51,52,52,64,55,41,64
46,59,43,53,63,65,58,40,43,59,67,36,47,52,54,61,64,56,35,60
53,60,35,55,49,59,59,41,53,55,60,45,49,49,45,72,54,65,42,45
44,43,47,48,57,66,55,40,43,71,77,40,59,51,53,53,50,67,45,63
63,34,37,50,56,57,56,32,37,72,76,43,56,59,55,69,48,58,47,51
54,44,43,53,46,63,48,38,40,58,48,34,51,50,58,84,57,69,49,57
62,51,42,72,47,57,40,35,41,54,65,52,59,47,56,47,51,57,40,67
57,56,51,62,63,54,59,35,40,65,63,49,40,54,51,46,50,72,42,45
48,66,41,60,60,67,51,37,37,58,59,47,51,44,51,55,68,66,44,54
57,55,49,42,56,54,40,39,33,63,73,43,60,46,57,73,67,69,29,55
56,66,38,56,71,47,58,33,49,49,68,40,43,46,55,54,56,66,42,45
55,54,48,52,65,56,43,38,38,67,76,33,54,50,50,60,59,67,38,60
51,41,52,56,50,53,54,38,42,65,75,49,51,58,63,68,47,62,34,41
67,52,42,53,47,54,63,30,45,58,75,52,46,59,58,44,52,65,49,52
50,50,50,47,54,62,67,40,32,62,72,49,64,41,56,56,49,68,33,46
53,63,49,40,49,44,57,35,32,58,59,53,49,55,68,71,49,64,52,44
57,41,50,50,68,52,36,34,50,67,83,49,46,42,51,49,68,73,37,54
55,61,41,36,44,68,55,35,44,54,65,49,42,68,50,64,58,70,32,53
55,40,46,63,49,67,52,44,34,56,64,40,51,45,52,56,62,83,45,50
50,55,38,49,53,55,59,45,40,62,74,50,51,50,51,56,66,68,31,58
37,65,40,59,55,63,54,39,31,63,67,39,53,46,52,59,67,73,48,53
44,55,43,76,60,67,58,38,36,49,71,48,63,55,50,54,54,61,34,47
41,50,31,47,42,53,60,53,43,79,80,45,37,73,62,43,72,71,44,42
57,44,38,40,66,63,57,39,53,61,83,41,48,38,45,54,72,63,34,63
66,52,54,67,37,57,62,40,46,69,59,60,47,48,45,48,48,62,32,57
56,45,50,43,68,47,47,46,41,60,62,57,46,61,54,61,51,66,38,51
58,59,47,78,53,39,68,29,42,67,69,48,48,47,39,68,57,68,30,51
52,59,43,51,50,48,66,29,47,54,74,42,49,55,44,59,59,79,53,46
52,54,42,54,57,54,48,39,36,63,65,54,51,56,47,59,53,60,36,62
63,56,46,75,51,46,52,36,33,54,68,52,34,62,52,50,63,70,37,57
54,72,52,41,43,55,62,35,26,66,80,43,44,54,51,52,58,79,47,56
57,50,39,52,59,66,51,45,32,73,65,36,52,33,60,62,49,59,52,52
60,54,49,40,48,61,42,36,31,81,57,62,65,44,64,51,51,75,50,49
48,45,59,55,61,49,53,35,56,55,76,44,49,61,48,54,62,67,39,50
58,57,39,62,46,59,60,32,39,55,72,30,54,56,66,58,51,63,36,46
62,42,38,60,57,82,52,42,48,76,71,38,33,39,46,58,52,72,38,53
25,60,47,65,60,56,64,46,32,57,48,51,46,57,60,61,68,63,37,65
43,46,45,45,52,56,55,47,49,54,51,54,44,57,67,56,43,69,46,66
46,43,45,49,55,60,51,40,39,49,76,49,57,43,65,45,58,76,67,39
50,55,43,57,46,49,59,53,37,64,67,60,47,40,48,62,60,74,39,54
45,55,37,42,60,60,51,43,38,50,77,46,44,67,51,67,53,68,39,67
45,51,27,51,68,61,57,26,49,75,63,50,50,59,38,50,59,64,41,65
41,57,35,55,51,62,60,30,41,68,65,41,52,62,43,56,66,79,36,52
40,50,40,46,56,61,47,50,60,65,68,39,59,46,41,46,54,82,59,53
52,55,41,49,55,50,68,34,49,61,65,52,46,44,64,49,51,64,35,65
52,46,50,57,65,49,52,27,46,79,65,31,47,48,53,42,65,94,41,46
45,46,54,49,56,72,53,38,44,68,66,51,57,57,52,53,59,46,51,44
52,55,47,57,58,60,62,29,30,62,59,56,55,54,63,53,57,72,27,47
48,63,43,33,59,48,59,36,40,62,82,41,53,54,57,65,54,72,50,36
56,43,39,43,56,73,58,30,47,65,69,56,50,40,48,40,65,68,45,57
50,27,41,47,57,63,64,45,30,69,58,60,68,42,60,55,53,64,45,69
51,53,54,53,45,59,64,32,45,81,68,48,34,48,72,52,64,72,39,36
60,64,48,31,48,63,62,37,43,69,74,45,30,47,33,56,69,66,61,58
40,61,37,57,54,65,51,40,46,59,75,40,42,50,55,59,74,65,36,54
56,42,44,61,55,64,56,49,50,70,73,48,44,55,54,61,50,61,35,38
49,63,51,44,47,50,70,35,42,64,67,44,50,58,49,59,57,76,37,47
54,54,40,46,73,53,43,29,30,56,69,57,50,45,71,66,63,61,51,41
47,54,34,59,49,48,51,40,46,64,69,44,54,59,62,44,61,60,41,58
46,52,36,51,59,63,55,40,31,65,69,50,45,50,53,70,69,65,35,56
47,48,49,57,53,62,60,53,38,61,78,34,42,45,53,44,57,71,38,69
53,56,36,60,54,40,52,36,40,57,79,47,58,70,53,48,45,72,47,44
59,36,38,47,64,58,52,36,48,63,67,55,46,66,53,58,65,58,42,59
42,51,56,55,47,66,56,43,44,64,78,64,62,53,45,47,62,48,38,42
53,48,34,55,63,57,54,30,57,74,69,46,41,48,52,46,56,68,36,45
43,52,42,53,51,69,67,33,46,60,70,53,43,47,60,54,50,70,38,56
52,47,38,61,58,53,65,40,40,56,65,39,42,46,59,59,66,60,44,66
61,61,51,53,60,59,52,26,26,77,60,36,49,59,45,86,50,72,34,37
38,41,58,62,57,56,66,39,35,61,77,51,59,47,59,49,59,72,35,43
56,39,48,52,66,74,55,37,36,64,62,70,50,43,50,38,70,67,38,58
56,56,53,56,61,56,53,42,51,66,57,45,51,48,48,51,56,60,41,53
55,50,42,38,54,65,56,42,38,56,75,33,45,50,69,55,66,66,49,50
70,51,37,45,35,57,42,26,54,72,73,59,61,61,62,46,58,55,45,42
55,48,53,42,56,68,55,37,48,58,68,47,50,48,60,48,54,65,42,68
56,61,32,53,56,57,54,23,36,67,78,42,56,46,44,62,55,75,44,59
58,60,34,49,61,62,67,33,45,63,55,53,57,39,52,52,69,69,33,48
58,46,52,47,49,52,58,32,35,64,72,57,44,48,47,59,56,64,39,70
51,59,40,51,52,61,61,36,38,67,67,42,56,50,55,57,46,66,42,52
51,34,46,49,47,58,77,28,37,68,73,32,42,42,57,71,64,79,36,52
48,39,48,53,51,57,62,46,37,73,75,36,60,59,59,57,67,57,32,42
57,54,39,59,62,55,61,35,44,66,67,53,54,60,55,49,64,49,43,39
66,42,40,54,54,61,45,56,49,68,79,38,37,48,53,56,68,52,47,47
64,38,34,55,46,70,67,29,32,60,77,41,42,51,65,56,59,67,47,64
53,45,42,58,52,71,46,32,41,71,72,64,49,51,56,67,52,54,31,59
72,60,37,46,75,50,63,47,37,61,73,33,50,34,65,51,42,55,47,49
64,47,41,48,47,64,56,48,40,67,79,34,42,48,46,58,55,60,44,59
53,38,51,58,42,75,70,54,28,56,62,46,57,42,69,44,55,57,45,59
47,63,42,46,52,56,60,46,41,61,71,50,34,40,62,75,57,70,44,49
64,62,60,59,55,44,50,53,32,68,61,37,42,40,58,55,74,65,29,42
58,39,61,48,54,74,48,44,47,66,73,49,46,47,64,41,64,53,46,46
54,47,61,49,59,56,62,26,37,61,75,51,34,45,56,54,54,67,38,60
44,50,52,50,50,77,64,36,52,60,66,41,58,44,52,57,50,75,41,57
48,54,42,60,53,49,63,30,43,77,74,39,59,54,47,50,62,74,31,49
57,53,37,52,60,63,68,54,30,63,77,48,40,59,53,42,52,49,52,51
54,50,42,66,46,69,44,45,45,63,67,59,61,47,40,49,50,78,29,53
61,45,44,61,62,60,57,34,40,65,73,41,46,51,43,60,72,58,36,43
40,50,40,50,60,59,53,35,33,66,68,49,55,61,69,52,60,65,38,53
42,41,51,63,48,59,64,47,50,67,74,52,43,32,54,51,42,72,42,62
46,62,43,54,59,62,49,28,47,59,73,51,53,52,60,60,42,58,49,52
51,53,56,55,56,58,59,37,40,66,69,44,37,53,44,56,68,52,39,54
62,37,47,59,57,47,66,37,38,64,80,44,48,41,59,58,69,53,48,49
63,44,46,42,52,76,57,27,49,72,58,39,64,64,47,45,58,69,45,43
36,54,50,69,48,59,49,39,44,54,68,30,58,44,42,63,69,69,51,62
52,35,40,58,54,72,52,33,34,70,73,54,54,42,64,52,47,77,26,55
64,56,44,38,62,52,76,33,42,70,73,44,53,59,44,59,61,57,51,38
56,50,35,46,45,63,53,44,26,59,64,51,37,61,71,57,67,65,45,70
50,54,31,65,53,58,61,29,43,58,53,42,59,58,43,52,74,59,41,73
52,41,38,44,49,55,67,36,43,68,80,48,58,43,56,70,48,77,39,51
55,43,47,43,57,61,57,30,40,69,62,42,50,54,52,65,64,70,47,58
59,47,48,44,46,49,40,42,58,68,72,52,45,61,57,64,48,46,51,61
66,62,65,48,71,60,48,38,25,60,68,48,46,50,48,60,47,70,25,52
41,44,56,59,58,57,51,42,48,60,69,51,38,61,57,55,45,55,43,74
57,47,53,56,52,66,55,39,38,54,64,41,59,49,61,40,45,69,52,60
61,44,35,56,48,49,58,47,48,78,73,51,56,42,50,53,59,67,38,42
38,53,48,61,58,54,67,58,40,63,58,36,37,48,63,56,58,67,44,47
49,54,47,53,51,53,47,51,35,58,86,51,56,42,38,54,53,63,52,56
51,51,43,71,46,60,52,28,39,67,70,40,54,49,44,58,75,48,39,65
49,41,41,42,64,66,68,32,38,56,67,41,53,54,45,71,60,82,45,47
57,55,41,63,57,62,44,41,33,70,71,45,49,49,42,59,59,75,41,40
50,64,53,66,70,47,55,43,26,75,68,50,41,43,57,63,48,65,39,45
48,55,46,49,56,61,58,34,41,69,73,49,54,60,54,50,66,62,37,42
51,63,47,62,45,53,62,46,46,76,49,38,56,39,61,61,67,63,34,41
45,48,36,58,51,54,74,33,38,72,60,55,52,36,45,59,64,72,52,52
55,49,46,39,60,61,49,45,50,72,63,35,52,46,50,47,61,64,54,46
55,49,48,61,45,51,68,46,48,51,69,33,56,62,40,55,55,60,44,64
39,41,53,55,39,53,62,39,41,57,72,55,58,50,60,61,46,72,46,55
55,55,48,50,62,58,56,46,27,62,57,51,46,45,44,61,59,61,46,64
46,46,53,53,62,59,68,47,41,63,59,52,46,54,47,54,56,67,40,50
41,51,50,36,47,73,58,40,46,55,79,44,58,45,48,58,58,70,40,64
67,53,30,52,52,62,46,48,45,67,64,53,41,39,53,55,51,59,55,68
55,52,50,51,55,53,46,40,47,58,78,60,49,60,47,52,53,64,40,50
52,59,44,54,47,60,56,45,50,61,74,46,35,56,56,53,52,69,35,58
30,48,46,54,57,71,56,35,37,70,65,46,56,56,39,62,70,68,25,55
61,49,47,55,51,45,52,42,51,55,83,38,46,64,60,54,51,65,43,49
50,48,55,39,37,57,56,39,38,66,70,48,55,61,61,49,60,77,34,59
45,60,68,59,45,58,58,31,38,74,62,36,61,42,52,67,45,56,38,60
57,49,48,45,65,55,74,33,27,67,62,53,51,37,57,59,48,67,44,57
49,56,53,56,57,49,55,38,38,56,50,50,59,64,51,50,47,77,50,54
55,51,42,57,55,64,52,36,34,70,56,52,45,47,57,55,65,71,37,59
63,51,33,46,59,67,55,27,35,70,72,61,48,49,67,39,62,45,43,58
56,39,53,65,34,53,61,35,53,66,60,50,49,44,45,51,68,69,41,55
51,44,53,50,44,49,48,38,46,72,84,36,45,38,64,59,60,68,44,52
59,44,61,60,47,53,65,27,43,59,57,44,63,40,58,58,53,63,38,68
51,55,34,51,51,45,47,30,45,68,71,60,42,49,64,53,60,77,48,53
58,55,49,51,33,52,63,40,37,65,73,51,50,42,52,63,58,69,46,45
58,47,53,61,55,57,68,35,34,69,61,33,60,52,50,53,65,60,32,55
46,47,60,62,59,59,52,29,35,75,69,40,47,53,48,53,60,54,40,61
55,59,44,49,56,51,67,37,50,72,59,49,48,63,56,52,53,66,38,52
53,53,34,61,49,55,66,33,35,70,79,61,41,51,45,51,57,65,44,45
52,37,45,60,56,54,54,41,29,67,70,48,44,53,52,69,74,57,33,65
58,42,51,49,52,60,47,44,40,59,62,55,58,45,56,58,64,61,32,45
62,53,46,65,60,48,56,39,44,62,65,38,53,49,48,62,52,61,55,49
